City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Soweto,ZA,-26.2678,27.8585,52.77,21,0,6.89,clear sky
1,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,56,75,9.13,broken clouds
2,Bluff,NZ,-46.6,168.3333,48.25,69,90,7.58,overcast clouds
3,Bredasdorp,ZA,-34.5322,20.0403,54.81,69,0,2.19,clear sky
4,Tevaitoa,PF,-16.7833,-151.5,81.14,71,85,8.9,overcast clouds
5,Fortuna,US,40.5982,-124.1573,68.18,68,20,8.99,few clouds
6,Tuatapere,NZ,-46.1333,167.6833,39.92,89,6,3.85,clear sky
7,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,7.38,light rain
8,Port Elizabeth,ZA,-33.918,25.5701,59.09,79,0,14.74,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,39.31,87,20,7.56,few clouds
10,Lebu,CL,-37.6167,-73.65,52.84,68,85,10.22,light rain
11,Jacareacanga,BR,-6.2222,-57.7528,94.37,38,20,5.08,few clouds
12,Hilo,US,19.7297,-155.09,80.28,75,1,5.75,clear sky
13,Manakara,MG,-22.1333,48.0167,70.54,86,29,6.67,moderate rain
14,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,70,40,12.12,scattered clouds
15,Kapaa,US,22.0752,-159.319,77.32,78,40,1.01,scattered clouds
16,Olafsvik,IS,64.8945,-23.7142,47.89,89,100,6.33,light rain
17,Anchorage,US,61.2181,-149.9003,58.32,63,31,1.01,scattered clouds
18,Albany,US,42.6001,-73.9662,87.69,52,21,3.0,few clouds
19,Jiuquan,CN,39.7432,98.5174,72.18,36,100,19.37,moderate rain
20,Avarua,CK,-21.2078,-159.775,71.65,94,75,10.36,broken clouds
21,Nagornyy,RU,52.7959,83.5498,49.35,77,29,5.97,scattered clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,82.36,84,96,7.0,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,73.29,61,79,4.25,broken clouds
24,Snyder,US,32.7179,-100.9176,78.53,69,75,4.61,broken clouds
25,Kaitangata,NZ,-46.2817,169.8464,44.92,79,100,5.41,overcast clouds
26,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,mist
27,Kuytun,RU,54.3419,101.5036,52.79,94,100,16.51,light rain
28,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,13.8,broken clouds
29,Thunder Bay,CA,48.4001,-89.3168,70.56,74,71,6.87,broken clouds
30,Guerrero Negro,MX,27.9769,-114.0611,71.71,53,4,11.65,clear sky
