City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Tevaitoa,PF,81.14,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
12,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
15,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Snyder,US,78.53,broken clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
33,Rikitea,PF,75.58,overcast clouds,-23.1203,-134.9692,Pension Maro'i
36,Jamestown,US,84.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Butaritari,KI,82.4,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
50,Fare,PF,80.49,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
52,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
53,Sao Filipe,CV,78.42,scattered clouds,14.8961,-24.4956,Hotel Xaguate
59,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Tabuk,PH,77.65,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
64,Shelburne,CA,83.28,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
66,Padang,ID,76.01,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
71,Santa Rosa,PH,85.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
76,Salinopolis,BR,85.53,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
79,Bengkulu,ID,76.21,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Caravelas,BR,78.57,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
89,Victoria,HK,82.33,broken clouds,22.2855,114.1577,Mini Hotel Central
97,Oussouye,SN,87.19,overcast clouds,12.485,-16.5469,Auberge du Routard
103,Gat,IL,75.81,clear sky,31.61,34.7642,OlusHome
105,Hun,LY,89.1,scattered clouds,29.1268,15.9477,Alrwasi Hotel
110,Alugan,PH,78.04,overcast clouds,12.2188,125.4808,JM Lodge
114,Linfen,CN,76.28,light rain,36.0889,111.5189,Suoxing Hotel
120,Abaete,BR,82.65,clear sky,-19.16,-45.4458,Hotel Millenium
123,Cidreira,BR,78.15,clear sky,-30.1811,-50.2056,Hotel Castelo
124,Axim,GH,82.02,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
128,Cosala,MX,85.12,clear sky,24.4125,-106.6908,Hotel Real del Conde
129,Faanui,PF,80.92,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Paea,PF,76.71,scattered clouds,-17.6833,-149.5833,Marama Lodge
141,Imbituba,BR,78.69,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
144,Maragogi,BR,79.63,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
145,Havelock,US,88.02,broken clouds,34.8791,-76.9013,Sherwood Motel
147,Pyapon,MM,84.15,light rain,16.2833,95.6833,Aung Naing Thu Motel
149,Krishnanagar,IN,85.77,overcast clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
151,Puerto Colombia,CO,83.37,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
152,Kavieng,PG,81.5,moderate rain,-2.5744,150.7967,Nusa Island Retreat
154,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
156,Ipixuna,BR,89.55,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
158,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
159,Broome,US,87.66,clear sky,42.2506,-75.833,Chenango Valley State Park
162,Krusevac,RS,81.12,few clouds,43.58,21.3339,Hotel Golf
166,Tubmanburg,LR,82.26,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
167,Georgetown,MY,80.89,heavy intensity rain,5.4112,100.3354,Cititel Penang
168,Asyut,EG,85.96,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
169,Elat,IL,85.71,clear sky,29.5581,34.9482,Club Hotel Eilat
171,Alamo,MX,87.44,broken clouds,20.9167,-97.6833,Hotel Elizabeth
